Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX
2026-W16,2026.04.13,USDJPY,86,120,71.7,189.6,24.75,36.20,0,30,0.0,0,0.0,0.0,15.81,19.90
2026-W17,2026.04.20,USDJPY,27,120,22.5,53.1,16.68,27.30,0,30,0.0,0,0.0,0.0,14.49,17.13
2026-W18,2026.04.27,USDJPY,6,25,24.0,19.5,18.33,21.25,0,7,0.0,0,0.0,0.0,12.91,13.80
2023-W01,2023.01.02,EURUSD,55,120,45.8,200.9,20.05,35.53,4,30,13.3,0,0.0,44.4,17.66,23.01
2023-W02,2023.01.09,EURUSD,58,120,48.3,207.9,23.00,43.56,25,30,83.3,6,20.0,155.8,25.24,32.06
2023-W03,2023.01.16,EURUSD,28,120,23.3,56.8,16.48,29.56,11,30,36.7,0,0.0,99.6,19.87,28.74
2023-W04,2023.01.23,EURUSD,58,120,48.3,83.1,20.99,40.42,26,30,86.7,0,0.0,94.1,24.34,27.18
2023-W05,2023.01.30,EURUSD,70,120,58.3,240.4,23.05,38.73,0,30,0.0,0,0.0,0.0,17.14,19.13
2023-W06,2023.02.06,EURUSD,67,120,55.8,132.6,26.03,47.40,25,30,83.3,1,3.3,123.3,24.39,30.14
2023-W07,2023.02.13,EURUSD,83,120,69.2,191.8,27.38,45.81,4,30,13.3,0,0.0,89.0,17.44,20.97
2023-W08,2023.02.20,EURUSD,12,120,10.0,152.8,14.88,27.20,15,30,50.0,2,6.7,124.2,21.67,31.41
2023-W09,2023.02.27,EURUSD,74,120,61.7,158.6,21.90,31.77,20,30,66.7,5,16.7,158.6,22.78,33.61
2023-W10,2023.03.06,EURUSD,107,120,89.2,176.5,25.90,42.54,2,30,6.7,0,0.0,88.7,16.67,21.99
2023-W11,2023.03.13,EURUSD,52,119,43.7,221.0,19.67,29.40,28,30,93.3,3,10.0,243.8,24.88,31.41
2023-W12,2023.03.20,EURUSD,106,119,89.1,298.4,27.59,53.19,30,30,100.0,11,36.7,298.4,28.49,36.38
2023-W13,2023.03.27,EURUSD,46,120,38.3,133.8,20.68,37.17,30,30,100.0,2,6.7,181.6,27.52,30.30
2023-W14,2023.04.03,EURUSD,61,120,50.8,184.9,20.06,38.50,18,30,60.0,0,0.0,184.9,20.23,25.68
2023-W15,2023.04.10,EURUSD,119,120,99.2,244.5,30.05,41.95,14,30,46.7,8,26.7,117.6,22.57,38.47
2023-W16,2023.04.17,EURUSD,47,120,39.2,83.9,17.87,27.40,18,30,60.0,5,16.7,90.5,22.59,36.22
2023-W17,2023.04.24,EURUSD,71,120,59.2,131.0,22.05,31.95,7,30,23.3,0,0.0,86.7,16.24,21.41
2023-W18,2023.05.01,EURUSD,64,120,53.3,127.3,21.35,37.32,10,30,33.3,0,0.0,125.0,17.48,22.83
2023-W19,2023.05.08,EURUSD,51,120,42.5,206.3,19.29,35.77,3,30,10.0,0,0.0,69.9,18.51,22.94
2023-W20,2023.05.15,EURUSD,59,120,49.2,130.7,21.36,36.83,9,30,30.0,0,0.0,130.7,17.79,24.35
2023-W21,2023.05.22,EURUSD,56,120,46.7,93.6,20.15,36.45,19,30,63.3,0,0.0,99.6,21.62,28.78
2023-W22,2023.05.29,EURUSD,19,120,15.8,108.4,16.59,25.39,11,30,36.7,0,0.0,81.8,19.36,24.56
2023-W23,2023.06.05,EURUSD,75,120,62.5,120.1,23.85,39.15,0,30,0.0,0,0.0,0.0,15.73,18.06
2023-W24,2023.06.12,EURUSD,106,120,88.3,237.6,27.78,39.26,13,30,43.3,0,0.0,169.6,18.37,27.52
2023-W25,2023.06.19,EURUSD,39,120,32.5,150.5,18.28,33.24,16,30,53.3,0,0.0,167.5,20.70,27.52
2023-W26,2023.06.26,EURUSD,9,120,7.5,83.4,15.26,21.94,2,30,6.7,0,0.0,62.5,16.84,20.78
2023-W27,2023.07.03,EURUSD,46,120,38.3,139.6,19.33,30.33,5,30,16.7,0,0.0,67.1,17.37,20.86
2023-W28,2023.07.10,EURUSD,101,120,84.2,292.0,30.90,50.18,16,30,53.3,10,33.3,231.2,25.68,46.82
2023-W29,2023.07.17,EURUSD,36,120,30.0,132.4,17.54,28.75,30,30,100.0,22,73.3,168.0,38.18,48.15
